model,test_customers,base_churn_rate,roc_auc,average_precision,precision_at_0_50,recall_at_0_50,accuracy_at_0_50,top_10_percent_churn_rate,lift_at_top_10_percent
logistic_regression,194192,0.089942,0.824004,0.472059,0.339995,0.661342,0.854072,0.463337,5.151511
random_forest,194192,0.089942,0.861937,0.546822,0.351086,0.682011,0.858022,0.496344,5.518495
