campaign_capacity_percent,assumed_save_rate_percent,customers_targeted,average_calibrated_risk,expected_churners_from_model,average_monthly_value_proxy,offer_cost_per_customer,value_months,expected_saved_customers,scenario_retained_value,campaign_cost,scenario_net_value,scenario_roi
5,5.0,9710,0.7253,7042.7,607.13,30.0,6,352.1,1282762.8,291300.0,991462.8,3.4036
5,10.0,9710,0.7253,7042.7,607.13,30.0,6,704.3,2565525.61,291300.0,2274225.61,7.8072
5,20.0,9710,0.7253,7042.7,607.13,30.0,6,1408.5,5131051.21,291300.0,4839751.21,16.6143
10,5.0,19420,0.5111,9925.7,387.09,30.0,6,496.3,1152633.28,582600.0,570033.28,0.9784
10,10.0,19420,0.5111,9925.7,387.09,30.0,6,992.6,2305266.57,582600.0,1722666.57,2.9569
10,20.0,19420,0.5111,9925.7,387.09,30.0,6,1985.1,4610533.14,582600.0,4027933.14,6.9137
20,5.0,38839,0.3274,12716.7,247.47,30.0,6,635.8,944106.88,1165170.0,-221063.12,-0.1897
20,10.0,38839,0.3274,12716.7,247.47,30.0,6,1271.7,1888213.76,1165170.0,723043.76,0.6205
20,20.0,38839,0.3274,12716.7,247.47,30.0,6,2543.3,3776427.52,1165170.0,2611257.52,2.2411
