model,test_customers,roc_auc,average_precision,brier_score,top_10_percent_actual_churn,lift_at_top_10_percent
xgboost_raw,194192,0.870034,0.575945,0.128182,0.505973,5.625555
xgboost_isotonic_calibrated,194192,0.869868,0.567243,0.05449,0.506179,5.627846
